"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"27","Fen1",0.424575779882621,0.73628337317284,0.517419826307696,0.414058712285427,0.752751578199086,0.496917780779287,7.56655770646625e-98,3.4248629618742e-97,5.45254140716817e-07,2.38768833059697e-86,1.65706423176398e-54
"28","Mcm5",0,1.06511441830837,0.342690891780446,0.294197191788851,1.00444927226189,0.391931387235902,0,0,1.67449785156715e-07,1.04931403267551e-274,4.83160675169123e-225
"29","Blm",0,0,0,0.0350549077815864,0.0567380188614783,0.0454637594635315,0.0139688373404486,0.0158068422536655,0.0585097055293498,0.0120921346345336,0.414964378161099
"30","CG10336",0,0.825598390887701,0,0.257329510910271,0.865369572586672,0.318379962876757,3.23226027406362e-295,2.77974383569471e-294,0.000720981916262158,1.91050743963177e-225,7.35269684043399e-204
"31","Mcm2",0,0.860560143879434,0,0.261030328308268,0.9017013397493,0.354581824538172,3.14268876900756e-308,3.00301371260723e-307,9.11603353528058e-08,3.34497096002101e-248,4.56609005371536e-198
"32","RnrL",0,1.09164957292534,0,0.313981552153404,1.02891715215315,0.359794238453196,0,0,0.0177415767982791,1.37709389056614e-259,1.44828015572348e-254
"33","Slbp",0.547034908907698,1.21291823965458,0.681885875257971,0.540713386570589,1.16752001371974,0.695687638597065,6.63069905508613e-229,4.75200098947839e-228,2.74463517605019e-14,1.68117762402709e-200,2.95232436356129e-126
"34","ct",0,0,0,0.0414325546245463,0.0514230685676501,0.0622105637095568,0.00849830350042207,0.00987640677076078,0.00919202236013677,0.33533735852665,0.042058224865443
"35","jumu",0,0,0.314008221509557,0.224868849784055,0.242989172408418,0.358287665127667,1.91608282799251e-28,3.74507098198537e-28,9.42796651672162e-23,0.226549540497613,2.69783036620247e-21
"36","msps",0,0,0,0.185231904538044,0.1643429490779,0.29738994798209,3.5161874137004e-37,7.55980293945585e-37,6.09652780134374e-20,0.021849232936324,4.92608195492517e-35
"37","BubR1",0,0,0,0.0982960595017551,0.15458047987467,0.179709815768598,3.90402748642023e-15,6.45666084292576e-15,1.29990135344341e-15,6.50876541298544e-07,0.000528128786792689
"38","pav",0.588179068584835,0.637004671499978,0.984056882697807,0.585440327018008,0.632979933280385,0.952846138958697,9.21067985978958e-100,4.4006581552328e-99,4.53557349328192e-79,0.0112278797744333,4.25711051652926e-71
"39","nod",0,0,0,0.100893108041248,0.13324088182814,0.197554786163536,1.14295095608589e-23,2.18430627163081e-23,1.19768305185985e-21,0.00839882670791349,1.7678690657802e-14
"40","fzy",0.546336315762438,0.727776698796308,0.843298233164243,0.526140102131844,0.754901956987977,0.845690093292545,2.50518919582059e-67,7.97949151261374e-67,1.27329835717418e-65,3.55888874096606e-36,1.26605918125228e-07
"41","betaTub56D",4.26646740760569,4.24209456431793,4.34512077222244,4.21200146808828,4.19182799716576,4.30668438905955,2.31820464702358e-30,4.63640929404716e-30,5.04014229186304e-16,0.0252433251192738,6.12751414332677e-29
"42","cana",0,0,0,0.0468517144227057,0.0565870729827047,0.0754552442002,6.10489851848251e-06,9.05209090671544e-06,3.64972194971174e-05,0.502230948333522,7.81474115966511e-05
"43","Klp10A",0.389442653358427,0.360613935183279,0.619245012683847,0.397562462526869,0.400430066883318,0.617649380338178,1.72218714103895e-56,4.3561204155691e-56,3.35286039404942e-40,0.830982759609117,1.37940086607685e-45
"44","pie",0,0,0,0.0673162227988311,0.0930032072214199,0.0911472660450918,0.00118365575893543,0.00149697640100658,0.00116569128211261,0.00780609475521021,0.375553340946253
"45","pbl",0,0,0.408200220252168,0.208136920756988,0.281832806162411,0.402410938063371,2.55792769534306e-45,5.94545356214874e-45,1.21801060836395e-43,2.45135932757302e-07,6.32536041070962e-22
"46","Cks85A",0.52491971864653,0.575763645186293,0.674887585223732,0.510855095733931,0.52394127870038,0.694953880239013,1.01590944414715e-33,2.13093200479646e-33,5.59001147718939e-26,0.348192966380014,5.32526610409264e-26
"47","Cap-D2",0,0,0,0.125510559124566,0.177407743100741,0.232907226387427,6.35667787929495e-21,1.16313680344546e-20,3.7333569629238e-21,1.34852964948913e-05,1.23387925852055e-08
"48","aurA",0,0,0.401151446155564,0.20174790870488,0.246310293222208,0.403034418427615,9.20741766351698e-56,2.26239405446417e-55,7.92814620430132e-47,0.00670413838879101,1.58816579417748e-37
"49","scra",0.420768888364779,0.486820774461868,0.694560080765364,0.41846311431872,0.458851827977971,0.70626765161698,7.52030487515541e-76,2.69477591359736e-75,1.71578111670703e-61,0.0103811652789472,5.46001846332248e-53
"50","CG30183",0,0,0,0.0496548985037318,0.0465420987444461,0.0752161769558205,2.09215156760582e-09,3.39481197762453e-09,8.14323074863822e-06,0.304290900601079,4.56699049251306e-09
"51","Bub1",0,0,0,0.063071127919883,0.0629308662653184,0.0823639217059375,7.83419483122992e-05,0.000110449304177996,0.00671466339506351,0.275363470131296,6.29231937001135e-05
"52","Mapmodulin",2.40627993650441,2.61510256726405,2.59984332246038,2.35549648076768,2.58076776791009,2.56687546565629,9.01202207334186e-64,2.50010934937871e-63,2.44637628355655e-46,2.47979713630774e-55,0.241716720437137
"53","glu",0,0.467102418662778,0.413710579928728,0.244381255780743,0.448075024845947,0.407214521305716,8.29166051697684e-43,1.87653369594739e-42,3.61678794134793e-28,1.31127020627076e-39,0.0363932298279717
"54","Diap2",0,0,0,0.206532901178059,0.236772615932164,0.26495144994677,9.56997686663351e-06,1.39494578056014e-05,5.79804367134565e-06,0.0313095791248191,0.00581547077548466
"55","cmet",0,0,0,0.0460648412073354,0.0560316131327824,0.0997149922510376,6.5605594111464e-19,1.17543356116373e-18,2.1386950301351e-15,0.300107092429925,2.45099971787463e-14
"56","mars",0,0,0.284764845292522,0.191639732364932,0.228985011694388,0.333335811894733,3.84609199486404e-32,7.87533122757874e-32,4.28468720359198e-28,0.0134650870483699,5.84582179552221e-21
"57","msb1l",0.378158973377701,0.676581313059621,0.681134210931626,0.390053792937336,0.670457007558264,0.691950787957961,1.7269708112427e-76,6.4573691202988e-76,3.3706876196896e-64,7.84425941119029e-58,0.165326435734593
"58","RanGAP",0.702274603213396,1.09272193274605,1.14651243646768,0.724470042944648,1.03512882839277,1.10260299956957,1.08012262090704e-83,4.22229751809114e-83,3.52610232172462e-76,4.68738940948318e-55,0.000464918369185553
"59","vih",0.989316323863003,1.13257940568246,1.35139425338904,0.956394729166517,1.06635746850979,1.29369886861469,3.43142917657431e-69,1.13501118917458e-68,3.7907424449863e-65,5.84263132973257e-09,3.01396754995318e-35
"60","Phf7",0,0.453504057575753,0,0.0915198012074933,0.455964643116091,0.160850455666804,2.75963745814601e-176,1.58219214267038e-175,4.4040754000427e-08,2.73522491516604e-149,4.31293913772497e-105
"61","Klp61F",0.304720434715236,0.446273146214724,0.62996943252895,0.35745675099138,0.438927295692469,0.634437436418733,1.31641965532779e-66,4.04328894136394e-66,2.7112424509394e-61,4.4184249233491e-07,1.28831563816184e-36
"62","Cdk1",1.38840683660637,1.74356846485107,1.77560886191601,1.33978321219219,1.69252186520806,1.72811409567006,1.08709113367149e-104,5.49940220563224e-104,5.30051305049342e-88,3.0814190272889e-78,0.0812355233368728
"63","E(spl)m7-HLH",0,0,0,0.379201141224348,0.281987846328654,0.305930812392801,7.32017453085031e-05,0.000104922501608854,0.0281615768791045,3.88129055038198e-05,0.0370356569343036
"64","E(spl)m8-HLH",0,0,0,0.143371209462377,0.103424101052979,0.130978474489956,0.00190366172036358,0.00233878439930383,0.900114345866613,0.00430732570983368,0.00717014786322511
"65","E(spl)mgamma-HLH",0,0,0,0.0767998256306681,0.10564660557484,0.0871655868558736,0.0560846087911569,0.0602909544504937,0.0950131371641979,0.0631385901919827,0.663181068041454
"66","E(spl)m4-BFM",0,0,0,0.0949632634620213,0.0494153942217951,0.0485969785231214,1.01712077372287e-06,1.56200690250297e-06,5.92097156869445e-06,8.46102518838669e-06,0.731512182880415
"67","aPKC",0.418549453598027,0.449677732439279,0.426371009220485,0.416198354123644,0.435682107214849,0.422237130766692,0.286278582954676,0.300243391879294,0.727752138088853,0.42703787957195,0.35523794129977
"68","baz",0,0,0,0.197378331790882,0.170732620788983,0.200292646813791,0.00062466607981747,0.000813958831277309,0.705854058799695,0.00508257345189172,0.00124729069930292
"69","dgo",0,0,0,0.0776790169033798,0.0744214362267578,0.0794860017410674,0.422240948546249,0.432294304464017,0.965610313661209,0.404295129806776,0.777365694648788
"70","dsh",0,0,0,0.0615736540055615,0.0522441865461841,0.0665788187473979,0.00293132899718646,0.00355062385574698,0.322171530257044,0.0502589387472036,0.00250951591480256
"71","ft",0.629631762397679,0.615095437590227,0.646017623476892,0.663767545407594,0.601631293946629,0.676647818620019,0.000101398461416554,0.000140649478739091,0.37886584979384,0.00472805186011967,0.000123636817129349
"72","fj",0.836557096980096,0.637234458998764,0.62176054321438,1.0518503217217,0.789969080934127,0.78924093800744,1.19866332204269e-16,2.02127540579748e-16,3.29796853635565e-13,1.79869110304889e-14,0.745456267126105
"73","msn",0,0,0,0.342445789596577,0.29166901416665,0.332232845173806,0.000130945130320552,0.000178750495358214,0.558717630990687,0.000475021195995867,0.00106752096269658
"74","Vang",0.45699860286199,0.384927439731274,0.477692892504369,0.449643078416277,0.418674255576884,0.472851351981923,0.000790662896396635,0.00101488073268822,0.163543230245698,0.0538604742583765,0.000531710067433963
"75","DAAM",0,0,0,0.0385297702074956,0.0283793437925664,0.0204111943361418,0.00164957969613173,0.0020559978821352,0.00110700693171001,0.03024615812899,0.160878937918063
"76","ds",0,0,0,0.235873608665325,0.255397368128735,0.296003653587918,0.000447663280050166,0.000592292955143297,0.00112623608299125,0.513911251569976,0.00224366521538235
"77","fz",0.626757717615894,0.731694954724294,0.769258115042707,0.728014568291781,0.821146312485287,0.86553367472314,3.92056424182497e-08,6.13033681448995e-08,2.80726100294822e-08,5.14974067440809e-05,0.0660194001951602
"78","fy",0,0,0,0.154121993161315,0.148877903883871,0.172936639422048,0.00703584686697097,0.00828880589807539,0.106199210223245,0.274021735438835,0.00523566253806221
"79","pk",0,0,0,0.0427255207142499,0.0491337136354662,0.043670383615776,0.94720301444607,0.94720301444607,0.955221117327076,1,1
"80","Rho1",2.39785564285434,2.45843407335648,2.44525038587712,2.35749061589808,2.39845736543833,2.40267844194437,0.000396452268841836,0.000532732736256217,0.00126260031135831,0.000742699068169043,0.89700470365598
"81","Rok",0,0,0,0.169676935378616,0.154407850504733,0.173889780782846,0.0256164381024899,0.0282437650873607,0.561514357658004,0.0975450567960162,0.0283050417345315
"82","Rab23",0,0,0,0.260487160669801,0.289694426555359,0.26209523495316,0.0838629111179417,0.0890396340264566,0.915440678271718,0.0881754700653813,0.173801506469362
"83","stan",0,0,0,0.0398154518095141,0.0414253510717891,0.0426686760129012,0.726059681632846,0.734601560240291,0.981671281887241,0.778504801712681,1
"84","par-6",0.525635078296781,0.495236373895674,0.506929138624011,0.504775444231631,0.463522356807104,0.505215033366081,0.0115100909019654,0.013198237567587,0.858830483810875,0.0318683331262364,0.0172973340731775
"85","nmo",1.13268601800387,1.24725639638754,1.22768019086746,1.12420993488777,1.1717653186811,1.19123673459674,0.0192110900015307,0.0214565420796317,0.0223669872738443,0.0384857467269772,0.591711904336768
"86","mys",0,0,0,0.323532462473697,0.278797853544009,0.289046223434145,0.00315375752502741,0.00376698815489385,0.0619741432382775,0.00208818173158109,0.164623157017551
