"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"50","CG30183",0,0,0,0.915915461286228,1.09689723517223,1.71825128353319,2.06797550448576e-08,7.19177194335192e-08,7.5554700153253e-07,0.272742672853204,2.25946272166105e-06
"51","Bub1",0,0,0,0.898129761865129,0.968734479100333,1.53574044477793,9.98369844632997e-07,2.38499462884549e-06,2.76840305164385e-05,0.640542693800398,1.77778824837229e-05
"52","Mapmodulin",7.26784924453238,7.32801724781755,7.36646334803619,7.23841503027205,7.265202947482,7.28569789389822,0.0226960809719289,0.0291322830385953,0.0189940308747827,0.19513012644377,0.153927293022231
"53","glu",4.99308701874163,5.12814570098535,5.41146867510649,4.04915639005764,4.33012095417437,4.84994404214928,2.67179259095947e-06,5.89164520057729e-06,5.38388937059713e-06,0.0690800363958085,0.000721774000106465
"54","Diap2",0,0,0,1.08762957114562,1.33215517008816,1.74462184310262,8.82318865953801e-05,0.000164955266243537,0.000159865244867545,0.143531632118957,0.00349342698096634
"55","cmet",0,4.08561797645834,4.62976302255551,1.99078438604801,2.7422964844664,3.46004033876176,2.63872776465949e-15,1.37205238759766e-13,5.13409665371741e-15,0.000216169085235672,7.90951433574169e-07
"56","mars",0,0,4.23118346548893,1.75802566893418,2.24889062425702,2.88387479810856,2.35761190253554e-10,2.02754623618056e-09,2.61858286107635e-10,0.00209266734799995,8.98046567211097e-05
"57","msb1l",6.45394702835497,6.44853076476858,6.45608517191287,6.36202536271849,6.30106126384046,6.31754927378844,0.694748627494749,0.702922140759393,1,0.764007815734783,0.829993987522764
"58","RanGAP",5.782402369718,5.86884790460029,5.90177758404257,5.25266533222738,5.5284592359442,5.69002577593697,0.0022690212149351,0.00319894794236751,0.00156904271138835,0.0741196448661401,0.078175900280684
"59","vih",5.84976497095241,5.9705579424221,5.9833043373013,5.48319508385435,5.60316429820411,5.84458215719251,0.0694696019454901,0.0820080918499063,0.0780027828339781,0.0834276877755506,0.729375709850039
"60","Phf7",0,0,3.64655787441252,1.3424916876492,1.90282022128741,2.4476396828907,4.06687971894862e-10,3.17956050754164e-09,4.23100989601777e-10,0.00214922920217127,0.000124028980665144
"61","Klp61F",0,0,4.34021041200115,1.81762214546668,2.29811654879061,3.06699743796012,5.30875134944676e-13,1.14138154013105e-11,6.57308732336287e-12,0.0116966298815847,1.59195059252012e-07
"62","Cdk1",6.26334251788327,6.33861669978426,6.3203886048612,6.08250339821336,6.20167238398196,6.23234450187757,0.0244559295606427,0.030929557973754,0.0605077358991156,0.0210589790092593,0.422169222021889
"63","E(spl)m7-HLH",0,0,0,2.29611375943738,1.78633971125713,2.0953753460391,0.0394728633685971,0.0491980615898457,0.262820833169255,0.0413869850324298,0.155235263546172
"64","E(spl)m8-HLH",0,0,0,0.832735735056379,0.6564477053286,0.793746122912163,0.305328433218373,0.332382851351647,0.964547732129929,0.345760220326924,0.495452627639841
"65","E(spl)mgamma-HLH",0,0,0,0.114643448080833,0.102719019158927,0.131068045484703,0.773151109045488,0.773151109045488,0.875013750217349,0.995868998375007,1
"66","E(spl)m4-BFM",4.90050309492876,4.126157838978,4.77253676422497,3.67027934381808,2.97821290139817,3.49909723474358,0.0022530446530996,0.00319894794236751,0.320215799340491,0.00427159603195892,0.0120226068136021
"67","aPKC",5.43217269593793,5.36851123029171,5.34312840651548,4.82099382882978,4.70914023424505,4.68710657702034,0.645524326809071,0.660893953637858,1,0.797795974955172,0.718503101083546
"68","baz",4.66958331307888,4.62738365036625,4.92322695429876,3.59039197765147,3.32761523235984,3.90810212495524,0.000178349149137818,0.000315879403083694,0.0873438456448566,0.114205420167771,0.000100187333802368
"69","dgo",0,0,0,0.942211767135617,1.04069130477934,1.09936697078993,0.547948546313899,0.56792472421725,0.818720786992719,0.737438682230562,0.633582541823835
"70","dsh",0,0,0,1.5479837904576,1.63314683141644,2.00081029179113,0.00701699766817651,0.00942909061661218,0.0224501173031735,0.635209430092451,0.0136360005851662
"71","ft",0,0,0,1.76349229077943,1.74086762327814,2.16821226182066,0.00386603628238957,0.00527744635373815,0.0203473601089997,0.922054574044307,0.00683160781412197
"72","fj",0,0,0,1.8536905867814,1.63046008390525,2.1950005776641,0.00205930177742166,0.00300169411624174,0.115302792234359,0.245882129465398,0.00141169293291862
"73","msn",4.85062055560548,5.11875754630533,5.0583964265958,3.87987032596634,4.35468946971715,4.33898318375783,0.000201956536851474,0.000347365243384535,0.000626502343474658,0.000269056511861822,0.608116081062356
"74","Vang",4.49062886351211,4.37620265612657,4.49344084842871,3.15138191759232,3.04459661956301,3.23224305670277,0.548113396628276,0.56792472421725,0.882330086945752,0.709257548224581,0.825169160854385
"75","DAAM",0,0,0,0.284353801245824,0.40144791944989,0.431647199804697,0.303781700365857,0.332382851351647,0.38088492233974,0.364253433553546,0.681441620356077
"76","ds",0,0,0,0.11971641727651,0.168394166328613,0.292182712322327,0.0216149951943227,0.028598301334027,0.0493294953377647,0.611605926842969,0.0375422518105717
"77","fz",4.41589491939956,4.21466492616071,4.51517502429073,2.89324711844612,2.937290442086,3.14004670128897,0.153424033960694,0.171356713254801,0.271525195248076,0.699710229472724,0.182316274911806
"78","fy",0,0,0,1.02372966853972,1.23892238201641,1.12279911501134,0.340285354587113,0.364429686115204,0.482128055176653,0.452526677285906,0.559559101548999
"79","pk",0,0,0,0.0314897162423442,0.00671555722827828,0.0646208005016119,0.0696115198260832,0.0820080918499063,0.369575110607613,0.444929941095427,0.0651008037373595
"80","Rho1",7.01917658626094,7.08389667978252,7.03695398974236,6.96961190402411,7.01503234871994,6.93944632417089,0.150210393070964,0.169974918475038,0.854591609912334,0.166958836771844,0.26990962887023
"81","Rok",4.25845276905845,4.02514688706151,4.50576364610629,2.79911205699536,2.74487126752259,3.28944629332909,8.04711815564331e-05,0.000153789369196739,0.00123387522901444,0.944229507440403,0.000298804132215355
"82","Rab23",0,0,0,1.40791122080138,1.06031131173215,1.1401091087322,0.0625698926520268,0.0757888840573845,0.110251168900159,0.0600987917141385,0.504434703308906
"83","stan",0,0,0,0.0327773266149302,0.0560899321152155,0.0215558619913452,0.343241913666646,0.364429686115204,0.816272037917135,0.516008939829724,0.472803859940241
"84","par-6",4.67594773111381,4.73729374823384,4.80204359173969,3.34501402326549,3.55707229618308,3.70267541896532,0.133666302097648,0.153270693071969,0.150307208077657,0.34474144316503,0.34927144476718
"85","nmo",7.13642607049605,7.12831353432495,7.31149731917283,7.11559815213387,7.09739407483743,7.25392607506491,6.91040812481094e-08,2.12248249547765e-07,4.19186393232228e-05,0.793643246431033,3.59731470295275e-07
"86","mys",0,0,3.472026879333,1.9957891495173,2.30897363973437,2.43036696436176,0.0513986120520769,0.0631468662354088,0.0445937289104599,0.186826891779333,0.294092531679222
